"Data","Ora","Azione","Stazione","Elett.","Minuti","Consumo"
"<nobr>27/03/2017</nobr>","<nobr>17:57:08</nobr>","<nobr>12</nobr>","<nobr>P. Rosmini</nobr>","","",""
"<nobr>27/03/2017</nobr>","<nobr>10:18:19</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>6</nobr>","<nobr>0,00</nobr>"
"<nobr>27/03/2017</nobr>","<nobr>10:12:41</nobr>","<nobr>12</nobr>","<nobr>Stazione FF.SS.</nobr>","","",""
"<nobr>26/03/2017</nobr>","<nobr>00:10:14</nobr>","<nobr>24</nobr>","<nobr>Piazza di Centa</nobr>","","<nobr>6</nobr>","<nobr>0,00</nobr>"
"<nobr>26/03/2017</nobr>","<nobr>00:04:18</nobr>","<nobr>12</nobr>","<nobr>Università</nobr>","","",""
"<nobr>25/03/2017</nobr>","<nobr>21:49:49</nobr>","<nobr>24</nobr>","<nobr>Bezzi</nobr>","","<nobr>21</nobr>","<nobr>0,00</nobr>"
"<nobr>25/03/2017</nobr>","<nobr>16:44:39</nobr>","<nobr>24</nobr>","<nobr>Stazione Autocorriere</nobr>","","<nobr>16</nobr>","<nobr>0,00</nobr>"
"<nobr>25/03/2017</nobr>","<nobr>16:28:57</nobr>","<nobr>12</nobr>","<nobr>Biblioteca</nobr>","","",""
"<nobr>25/03/2017</nobr>","<nobr>14:23:20</nobr>","<nobr>12</nobr>","<nobr>Stazione Autocorriere</nobr>","","",""
"<nobr>21/03/2017</nobr>","<nobr>17:10:11</nobr>","<nobr>24</nobr>","<nobr>Stazione FF.SS.</nobr>","","<nobr>4</nobr>","<nobr>0,00</nobr>"
"<nobr>21/03/2017</nobr>","<nobr>17:06:47</nobr>","<nobr>12</nobr>","<nobr>Mart</nobr>","","",""
"<nobr>15/03/2017</nobr>","<nobr>17:10:28</nobr>","<nobr>24</nobr>","<nobr>Stazione FF.SS.</nobr>","","<nobr>3</nobr>","<nobr>0,00</nobr>"
"<nobr>13/03/2017</nobr>","<nobr>12:48:29</nobr>","<nobr>12</nobr>","<nobr>Stazione FF.SS.</nobr>","","",""
"<nobr>12/03/2017</nobr>","<nobr>00:08:59</nobr>","<nobr>24</nobr>","<nobr>Piazza di Centa</nobr>","","<nobr>17</nobr>","<nobr>0,00</nobr>"
"<nobr>11/03/2017</nobr>","<nobr>23:51:07</nobr>","<nobr>12</nobr>","<nobr>Bezzi</nobr>","","",""
"<nobr>11/03/2017</nobr>","<nobr>21:34:04</nobr>","<nobr>24</nobr>","<nobr>Piazza Venezia</nobr>","","<nobr>8</nobr>","<nobr>0,00</nobr>"
"<nobr>11/03/2017</nobr>","<nobr>21:26:55</nobr>","<nobr>12</nobr>","<nobr>Piazza di Centa</nobr>","","",""
"<nobr>10/03/2017</nobr>","<nobr>12:10:41</nobr>","<nobr>24</nobr>","<nobr>Piazza di Centa</nobr>","","<nobr>4</nobr>","<nobr>0,00</nobr>"
"<nobr>10/03/2017</nobr>","<nobr>07:46:03</nobr>","<nobr>24</nobr>","<nobr>Stazione FFSS - Ospedale</nobr>","","<nobr>27</nobr>","<nobr>0,00</nobr>"
"<nobr>10/03/2017</nobr>","<nobr>07:19:36</nobr>","<nobr>12</nobr>","<nobr>Piazza di Centa</nobr>","","",""
"<nobr>09/03/2017</nobr>","<nobr>12:31:00</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>23</nobr>","<nobr>0,00</nobr>"
"<nobr>09/03/2017</nobr>","<nobr>12:08:58</nobr>","<nobr>12</nobr>","<nobr>Mart</nobr>","","",""
"<nobr>09/03/2017</nobr>","<nobr>10:16:05</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>4</nobr>","<nobr>0,00</nobr>"
"<nobr>08/03/2017</nobr>","<nobr>17:08:44</nobr>","<nobr>24</nobr>","<nobr>Stazione FF.SS.</nobr>","","<nobr>4</nobr>","<nobr>0,00</nobr>"
"<nobr>08/03/2017</nobr>","<nobr>17:04:59</nobr>","<nobr>12</nobr>","<nobr>Mart</nobr>","","",""
"<nobr>08/03/2017</nobr>","<nobr>08:33:02</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>5</nobr>","<nobr>0,00</nobr>"
"<nobr>08/03/2017</nobr>","<nobr>08:28:50</nobr>","<nobr>12</nobr>","<nobr>Stazione FF.SS.</nobr>","","",""
"<nobr>07/03/2017</nobr>","<nobr>14:48:17</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>0</nobr>","<nobr>0,00</nobr>"
"<nobr>07/03/2017</nobr>","<nobr>14:48:14</nobr>","<nobr>12</nobr>","<nobr>Mart</nobr>","","",""
"<nobr>07/03/2017</nobr>","<nobr>14:47:46</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>2</nobr>","<nobr>0,00</nobr>"
"<nobr>07/03/2017</nobr>","<nobr>14:45:52</nobr>","<nobr>12</nobr>","<nobr>P. Rosmini</nobr>","","",""
"<nobr>07/03/2017</nobr>","<nobr>14:20:20</nobr>","<nobr>24</nobr>","<nobr>P. Rosmini</nobr>","","<nobr>3</nobr>","<nobr>0,00</nobr>"
"<nobr>07/03/2017</nobr>","<nobr>14:16:11</nobr>","<nobr>12</nobr>","<nobr>Stazione FF.SS.</nobr>","","",""
"<nobr>06/03/2017</nobr>","<nobr>18:11:13</nobr>","<nobr>24</nobr>","<nobr>P. Rosmini</nobr>","","<nobr>2</nobr>","<nobr>0,00</nobr>"
"<nobr>06/03/2017</nobr>","<nobr>18:09:44</nobr>","<nobr>12</nobr>","<nobr>P. Rosmini</nobr>","","",""
"<nobr>06/03/2017</nobr>","<nobr>10:22:17</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>2</nobr>","<nobr>0,00</nobr>"
"<nobr>06/03/2017</nobr>","<nobr>10:20:29</nobr>","<nobr>12</nobr>","<nobr>P. Rosmini</nobr>","","",""
"<nobr>02/03/2017</nobr>","<nobr>18:02:24</nobr>","<nobr>24</nobr>","<nobr>Stazione FF.SS.</nobr>","","<nobr>7</nobr>","<nobr>0,00</nobr>"
"<nobr>02/03/2017</nobr>","<nobr>17:55:46</nobr>","<nobr>12</nobr>","<nobr>Mart</nobr>","","",""
